ps,SIFI_A_Acc,SIFI_V_Acc,SIFI_B_A_Acc,SIFI_B_V_Acc,SIFI_B_Acc,pitchSummaryAcc,ravenSummaryAcc,RhythmVAcc,RhythmAAcc,SRTA_median,SRTV_median,SRTB_median,SRTA_mean,SRTV_mean,SRTB_mean,SpeechAAcc,SpeechAVAcc,Noise,localizationDistV,localizationDistA,minRT,meanRT,medianRT,Corsi,lns_length,lns_hit,lns_miss,lns_hitRate,d2_hit,d2_miss,d2_FA,d2_CR,d2_hitRate,d2_faRate,d2_adjHitR,WordMemoryAcc
119,0.9166666666666666,0.7916666666666666,0.9722222222222222,0.6111111111111112,0.6333333333333333,0.8192771084337349,0.35714285714285715,0.78125,0.5,0.1884036960545927,0.23049095610622317,0.19853508949745446,0.20613679805256682,0.2424575755683084,0.2036329171232258,,,,,,17.98609999990464,25.30832000002861,21.086700000047685,9.0,7.0,9.0,3.0,0.75,168.0,7.0,4.0,173.0,0.96,0.022598870056497175,0.9374011299435028,0.25
120,0.9791666666666666,0.5208333333333334,0.8888888888888888,0.3333333333333333,0.45,0.7409638554216867,0.5,0.625,0.90625,0.22250209609046576,0.2552664668764919,0.19632112595718348,0.2418968649348244,0.26143002290888845,0.20390825974754984,0.1,0.0,6.0,41.214285681428585,117.57142847428572,24.22570000004768,35.52994000000954,33.84909999990464,5.0,6.0,8.0,2.0,0.8,140.0,12.0,10.0,142.0,0.9210526315789473,0.06578947368421052,0.8552631578947368,0.5
121,0.9375,0.875,0.8888888888888888,0.7777777777777778,0.5777777777777777,0.8614457831325302,0.35714285714285715,0.5625,0.8125,0.16815177851822222,0.2627417228650301,0.1900920381303876,0.19450632803740772,0.271113294859192,0.20990016952895657,0.0,0.5,6.0,22.000000127142876,201.07142863142857,26.883600000143076,42.14710000004769,32.98329999995235,5.0,6.0,7.0,3.0,0.7,156.0,7.0,4.0,161.0,0.9570552147239264,0.024242424242424242,0.9328127904815021,0.25
122,0.9166666666666666,0.8125,0.9166666666666666,0.75,0.5888888888888889,0.6927710843373494,0.2857142857142857,0.5625,0.46875,0.24972842901479447,0.2813016099389642,0.2225293649826198,0.2496154726327707,0.2914957093669037,0.22840517708742666,0.0,0.1,6.0,19.553571161428714,156.57142851999984,28.32869999980926,45.589039999961855,39.105000000000004,7.0,5.0,6.0,2.0,0.75,159.0,5.0,4.0,160.0,0.9695121951219512,0.024390243902439025,0.9451219512195121,0.0
123,0.9791666666666666,0.8958333333333334,0.9722222222222222,0.7777777777777778,0.5666666666666667,0.7168674698795181,0.21428571428571427,0.5625,0.5625,0.2504358175210655,0.2950064081232995,0.26761939795687795,0.2637517189141363,0.6793895262832704,0.2730230167352905,,,,,,27.05200000000002,32.77674000000955,29.33470000004769,7.0,6.0,6.0,4.0,0.6,159.0,5.0,0.0,164.0,0.9695121951219512,0.0,0.9695121951219512,0.05
124,0.9791666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.7888888888888889,0.7469879518072289,0.8571428571428571,0.5625,0.5,0.2553778039291501,0.3156547779217362,0.3831954565830529,0.2780140243021064,0.319107616239966,0.4108051168421904,,,,,,,,,7.0,8.0,10.0,4.0,0.7142857142857143,139.0,1.0,0.0,140.0,0.9928571428571429,0.0,0.9928571428571429,0.2
125,0.9583333333333334,0.8541666666666666,0.8055555555555556,0.6666666666666666,0.6,0.8855421686746988,0.7142857142857143,0.59375,0.8125,0.265054386574775,0.2968629791866988,0.2618219945579767,0.26666189239670834,0.3060518538579345,0.2729747257195413,0.0,0.3,6.0,16.946428981428586,94.16071439428573,17.186800000192306,23.851339999961784,21.4560999999012,8.0,10.0,14.0,4.0,0.7777777777777778,158.0,5.0,1.0,164.0,0.9693251533742331,0.006060606060606061,0.963264547313627,0.45
126,0.8541666666666666,0.8125,0.6944444444444444,0.5833333333333334,0.4222222222222222,0.5843373493975904,0.35714285714285715,0.5625,0.375,0.2596586034633219,0.3181249559856951,0.29606497497297823,0.2821802937270453,0.32560602930406557,0.3088825007279714,,,,,,30.10859999990464,41.28844000005722,40.61610000038149,7.0,5.0,6.0,2.0,0.75,138.0,13.0,2.0,151.0,0.9139072847682119,0.013071895424836602,0.9008353893433754,0.2
127,0.7083333333333334,0.9583333333333334,0.8888888888888888,0.8333333333333334,0.6055555555555555,0.7228915662650602,0.35714285714285715,0.34375,0.5,0.2633649939671159,0.3096649050712585,0.2560267590451985,0.26482252002661594,0.31924798320978875,0.26164677751561,,,,,,28.664300000190735,35.45390000019073,34.503200000286085,6.0,7.0,8.0,4.0,0.6666666666666666,145.0,6.0,3.0,150.0,0.9602649006622517,0.0196078431372549,0.9406570575249967,0.05
128,0.9583333333333334,0.875,0.6944444444444444,0.8055555555555556,0.5944444444444444,0.7710843373493976,1.0,0.59375,0.625,0.24393748841248444,0.3249288739170879,0.23548883688636119,0.26004478771549955,0.32788349042336146,0.26855517183430494,,,,,,21.765199999809262,26.140700000000002,27.7235,8.0,9.0,13.0,3.0,0.8125,173.0,8.0,0.0,179.0,0.9558011049723757,0.0,0.9558011049723757,0.75
