File Name,pcommon,sigmaU,sigmaD,sigmap,mup,Error,BIC
Processed_176_SIFI_BisenBlock_clean,0.410544,0.911194,0.69894,1.864351,0.135968,238.7669874,503.498759
Processed_177_SIFI_BisenBlock_clean,0.814676,0.781785,0.323095,2.319819,0.372798,177.1776005,380.3199852
Processed_178_SIFI_BisenBlock_clean,0.144194,1.017268,0.261699,1.382995,0.157441,146.2417248,318.4482339
Processed_179_SIFI_BisenBlock_clean,0.692351,0.676159,0.339408,1.539791,0.945347,150.4936004,326.9519851
Processed_180_SIFI_BisenBlock_clean,0.538014,0.497974,0.280144,0.929025,0.364277,121.1420028,268.2487899
Processed_181_SIFI_BisenBlock_clean,0.763102,0.661841,0.486593,0.991733,1.520716,197.3534223,420.6716289
Processed_182_SIFI_BisenBlock_clean,0.999874,0.835144,0.508128,1.758999,0.101928,273.6940472,573.3528787
Processed_183_SIFI_BisenBlock_clean,0.250771,1.555994,0.505151,1.896185,0.015338,217.6828101,461.3304045
Processed_184_SIFI_BisenBlock_clean,0.09048,0.969788,0.446368,2.012681,0.523505,217.3671085,460.6990013
Processed_185_SIFI_BisenBlock_clean,0.706773,1.036101,0.417231,0.799753,1.802822,160.7021379,347.36906
Processed_186_SIFI_BisenBlock_clean,0.355733,0.794249,0.347661,2.337284,0.314359,212.8208933,451.6065709
